"latitude","longitude"
41.382564,2.177052
41.38221,2.178554
41.382222,2.178597
41.387756,2.199068
41.391282,2.165036
41.399982,2.180914
41.374296,2.159843
41.402356,2.162536
41.402485,2.162514
41.40232,2.162407
41.381833,2.171833
41.38,2.175166
41.418437,2.131817
41.414056,2.15126
41.409783,2.164006
41.395238,2.161742
41.391636,2.165025
41.380942,2.173179
41.412061,2.132377
41.385314,2.179462
41.413505,2.152949
41.379366,2.189025
41.363346,2.166237
41.395175,2.161725
41.378838,2.190291
41.413883,2.152263
41.379302,2.190655
41.413436,2.152955
41.377637,2.175872
41.413822,2.152297
41.377444,2.175421
41.413872,2.1523
41.385405,2.178972
41.413902,2.152747
41.382497,2.173972
41.374263,2.182502
41.391719,2.164975
41.385097,2.180969
41.391719,2.164975
41.391719,2.164975
41.391719,2.164975
41.382469,2.173561
41.391719,2.164975
41.385677,2.179275
41.391719,2.164975
41.385291,2.180636
41.391719,2.164975
41.384786,2.179058
41.395308,2.161694
41.395225,2.161727
41.391539,2.164918
41.40333,2.173941
41.403522,2.173833
41.395283,2.161658
41.395316,2.161791
41.395094,2.161902
41.40353,2.174102
41.3637,2.16555
41.36325,2.166066
41.410167,2.169167
41.370347,2.187588
41.384559,2.176419
41.383327,2.175056
41.382949,2.166327
41.380139,2.175314
41.386629,2.181869
41.380212,2.175271
41.375971,2.179155
41.376615,2.188982
41.36713,2.163255
41.41132,2.220568
41.383136,2.183092
41.40345,2.174423
41.403322,2.174252
41.403346,2.174466
41.403322,2.174316
41.414571,2.152934
41.37965,2.169445
41.403354,2.174445
41.379289,2.168614
41.383474,2.176258
41.383474,2.176258
41.383474,2.176258
41.383474,2.176258
41.383474,2.176258
41.383474,2.176258
41.383474,2.176258
41.383474,2.176258
41.383474,2.176258
41.38454,2.17525
41.38454,2.17525
41.383474,2.176258
41.382934,2.176634
41.387877,2.197287
41.411827,2.152966
41.364811,2.153728
41.369095,2.152901
41.365278,2.165679
41.373291,2.187743
41.384067,2.176339
41.377213,2.179552
41.381036,2.182556
41.387496,2.168366
41.404778,2.174541
41.404778,2.174541
41.404778,2.174541
41.404778,2.174541
41.404778,2.174541
41.404778,2.174541
41.386919,2.170143
41.387346,2.169885
41.39236,2.17864
41.394388,2.175786
41.387499,2.175711
41.380644,2.179294
41.383425,2.175132
41.383856,2.178736
41.380326,2.174949
41.384263,2.186279
41.398477,2.210569
41.384899,2.176065
41.38452,2.175679
41.388022,2.18056
41.380101,2.178586
41.384516,2.176387
41.381534,2.174949
41.370577,2.149887
41.386351,2.18159
41.382806,2.166699
41.379223,2.192695
41.387406,2.168608
41.384778,2.167997
41.383047,2.173984
41.382339,2.174102
41.387261,2.168598
41.381336,2.173383
41.38514,2.179391
41.387937,2.18056
41.371205,2.149693
41.36486,2.151947
41.382109,2.174295
41.385277,2.179477
41.385571,2.170035
41.387985,2.18055
41.381111,2.194036
41.383611,2.17585
41.375689,2.179412
41.403627,2.175486
41.383776,2.182406
41.389334,2.197608
41.380648,2.171033
41.387241,2.169349
41.38708,2.186579
41.389044,2.169713
41.371188,2.151474
41.371647,2.151517
41.371583,2.153084
41.371688,2.151474
41.422584,2.230739
41.413815,2.152547
41.382315,2.173404
41.408979,2.187024
41.408979,2.187024
41.376454,2.189111
41.381735,2.194948
41.384568,2.192544
41.381316,2.170143
41.3833,2.1833
41.384855,2.17871
41.384855,2.178702
41.396966,2.160261
41.38485,2.178697
41.384854,2.178627
41.384856,2.178731
41.386118,2.170276
41.414313,2.151861
41.38409,2.176312
41.40683,2.149382
41.383346,2.174925
41.415054,2.154101
41.413881,2.152864
41.403099,2.173848
41.404328,2.174378
41.403138,2.174629
41.403786,2.175421
41.403123,2.173888
41.391086,2.166112
41.391086,2.166112
41.377906,2.190109
41.381741,2.186268
41.380815,2.18965
41.381229,2.187596
41.381229,2.187596
41.37993,2.190355
41.380822,2.193569
41.376462,2.189261
41.379978,2.190348
41.377857,2.190088
41.378107,2.188563
41.375545,2.18389
41.374576,2.181525
41.382478,2.183143
41.377138,2.190955
41.41442,2.152294
41.368341,2.190106
41.377777,2.191781
41.377887,2.191611
41.385145,2.197151
41.382769,2.19517
41.382769,2.19517
41.382769,2.19517
41.382769,2.19517
41.382769,2.19517
41.384943,2.196895
41.384943,2.196895
41.414431,2.152338
41.38444,2.171001
41.37548,2.186268
41.373765,2.132291
41.362984,2.166624
41.383699,2.174584
41.384182,2.189369
41.385575,2.16937
41.3813,2.174874
41.40411,2.173447
41.414217,2.15126
41.414217,2.15126
41.414217,2.15126
41.414217,2.15126
41.414217,2.15126
41.414217,2.15126
41.414217,2.15126
41.414217,2.15126
41.40411,2.173447
41.40411,2.173447
41.40411,2.173447
41.40411,2.173447
41.40411,2.173447
41.40411,2.173447
41.40411,2.173447
41.40411,2.173447
41.40411,2.173447
41.40411,2.173447
41.376261,2.150058
41.370367,2.147741
41.370367,2.147741
41.370367,2.147741
41.370367,2.147741
41.370367,2.147741
41.370367,2.147741
41.370367,2.147741
41.393809,2.159328
41.393809,2.159328
41.371044,2.151861
41.371044,2.151861
41.389108,2.183275
41.371044,2.151861
41.371044,2.151861
41.364312,2.165851
41.364312,2.165851
41.364312,2.165851
41.364312,2.165851
41.389108,2.183275
41.389108,2.183275
41.389108,2.183275
41.389108,2.183275
41.389108,2.183275
41.400151,2.207221
41.369465,2.185249
41.377114,2.180228
41.365472,2.173748
41.377066,2.179241
41.377839,2.190055
41.38576,2.170014
41.382071,2.19425
41.403618,2.17422
41.382071,2.19425
41.403618,2.17422
